구분,유입(전체),유입(도심),유입(시계),유입(교량),유입(간선도시),유입(고속),유출(전체),유출(도심),유출(시계),유출(교량),유출(간선도시),유출(고속),year
01~02시,81,7,19,15,27,13,86,8,21,15,29,13,2023
02~03시,62,5,14,12,21,10,68,6,17,12,23,10,2023
03~04시,52,4,12,10,18,8,55,5,14,9,18,9,2023
04~05시,56,4,15,9,19,9,61,4,17,10,19,11,2023
05~06시,93,6,27,15,29,16,98,5,31,17,26,19,2023
06~07시,130,10,38,22,38,22,132,8,43,23,34,24,2023
07~08시,154,13,45,26,45,25,150,10,47,27,40,26,2023
08~09시,205,17,61,34,61,32,188,14,57,34,53,30,2023
09~10시,246,22,73,42,73,36,228,17,69,42,66,34,2023
10~11시,266,25,77,47,80,37,250,20,76,47,73,34,2023
11~12시,268,26,76,48,81,37,255,21,78,47,74,35,2023
12~13시,270,26,77,49,81,37,261,23,79,47,77,35,2023
13~14시,272,26,78,50,82,36,268,25,80,49,79,35,2023
14~15시,271,25,79,50,81,36,270,25,80,50,80,35,2023
15~16시,271,24,81,50,80,36,274,26,81,51,80,36,2023
16~17시,270,23,82,50,80,35,276,26,81,52,81,36,2023
17~18시,263,22,80,49,78,34,268,25,78,50,80,35,2023
18~19시,241,20,73,44,72,32,246,23,71,44,74,34,2023
19~20시,217,17,66,39,64,31,220,21,62,39,66,32,2023
20~21시,210,16,63,38,61,32,216,20,59,39,65,33,2023
21~22시,202,16,59,36,58,33,206,18,56,38,61,33,2023
22~23시,168,13,45,31,50,29,174,15,47,31,52,29,2023
23~24시,119,10,30,22,36,21,127,12,33,22,39,21,2023
합계,"4,492",386,"1,295",808,"1,349",654,"4,494",388,"1,307",815,"1,327",657,2023
평균,187,16,54,34,56,27,187,16,54,34,55,27,2023
첨두시간,13시,11시,16시,16시,13시,10시,16시,16시,15시,16시,16시,16시,2023
첨두교통량,277,26,82,50,82,37,276,26,81,52,81,36,2023
첨두비율,6.20%,6.70%,6.30%,6.20%,6.10%,5.70%,6.10%,6.70%,6.20%,6.40%,6.10%,5.50%,2023
