구분,유입(전체),유입(도심),유입(시계),유입(교량),유입(간선도시),유입(고속),유출(전체),유출(도심),유출(시계),유출(교량),유출(간선도시),유출(고속),year
01~02시,65,6,15,12,22,10,72,7,18,12,24,11,2023
02~03시,51,5,12,9,17,8,56,6,14,9,19,8,2023
03~04시,46,4,12,8,15,7,46,4,12,8,15,7,2023
04~05시,67,5,20,10,21,11,66,5,19,11,19,12,2023
05~06시,147,10,48,21,43,25,140,8,44,25,36,27,2023
06~07시,249,22,78,38,70,41,219,14,69,45,56,35,2023
07~08시,310,33,91,52,93,41,276,22,84,58,76,36,2023
08~09시,312,35,90,56,93,38,290,25,87,60,82,36,2023
09~10시,297,32,86,52,90,37,274,25,78,56,80,35,2023
10~11시,279,29,79,50,85,36,267,25,76,53,79,34,2023
11~12시,269,29,74,49,81,36,265,26,77,50,78,34,2023
12~13시,262,27,74,47,78,36,260,26,75,48,76,35,2023
13~14시,269,27,77,48,81,36,267,27,76,50,79,35,2023
14~15시,272,27,78,49,82,36,273,28,77,51,82,35,2023
15~16시,273,26,79,51,82,35,282,29,81,52,84,36,2023
16~17시,280,25,83,54,83,35,296,30,87,55,88,36,2023
17~18시,283,25,85,57,83,33,304,31,92,56,90,35,2023
18~19시,274,24,82,57,81,30,298,31,92,53,88,34,2023
19~20시,245,21,72,49,73,30,271,27,82,46,82,34,2023
20~21시,223,19,62,43,67,32,243,24,71,40,75,33,2023
21~22시,212,18,57,41,64,32,231,23,64,40,71,33,2023
22~23시,186,16,46,37,58,29,207,20,57,35,64,31,2023
23~24시,139,13,33,27,44,22,154,15,41,26,48,24,2023
합 계,"5,101",486,"1,455",934,"1,536",690,"5,158",488,"1,499",956,"1,524",691,2023
평 균,213,20,61,39,64,29,215,20,62,40,64,29,2023
첨두시간,8시,8시,7시,17시,7시,7시,17시,18시,18시,8시,17시,16시,2023
첨두 교통량,312,35,91,57,93,41,304,31,92,60,90,36,2023
첨두비율,6.10%,7.20%,6.30%,6.10%,6.10%,5.90%,5.90%,6.40%,6.10%,6.30%,5.90%,5.20%,2023
